canonical_id,product,existing,missing_fields,affected_recipes
PI-ING-001579,DEFATTED COCOA 12% · Cocoa Powder,"YES — canonical Mapper identity","price; exact manufacturer/label evidence; saturated-fat label value if declared; profile Main ProductBehavior policy",Rocero|Oreyo
PI-ING-001512,FROM ROASTED UNBLANCHED ALMONDS · Ruda Kita Paste · 100% Nut,"YES — canonical Mapper identity","price; dosage/scope; saturated-fat label value if declared; product-specific process; form/concentration evidence; Main ProductBehavior; exact label/manufacturer evidence",Raphaello
PI-ING-001705,VANILLE · Leagel Paste · 315305,"YES — canonical Mapper identity","price; dosage/scope; saturated-fat label value if declared; product-specific process; form/concentration evidence; Main ProductBehavior; exact label/manufacturer evidence",Oreyo
PI-ING-000419,HAZELNUT · Pi-NUTS Paste · Dry · 100% Nut,"YES — canonical Mapper identity","product-specific process; form/concentration evidence; Main ProductBehavior; exact allergen/manufacturer process evidence",Rocero|Kidi Bueno
PI-ING-000151,COCONUT · Pi-NUTS Paste · Dry · 100%,"YES — canonical Mapper identity","dosage/scope; product-specific process; form/concentration evidence; Main ProductBehavior; exact allergen/label evidence",Raphaello
PI-ING-000437,PEANUT BUTTER · Pi-NUTS Paste · Dry · 100% Nut,"YES — canonical Mapper identity","product-specific process; form/concentration evidence; Main ProductBehavior; exact allergen/label evidence",Knickers
PI-ING-000118,MILK CHOCOLATE 33% · Pi-NUTS Chocolate · Dry,"YES — canonical Mapper identity","dose/scope; post-process coating/ripple/pieces ProductBehavior; application process; exact label/manufacturer evidence",Rocero|Kidi Bueno|Knickers
PI-ING-000142,WHITE CHOCOLATE 30% · Pi-NUTS Chocolate · Dry,"YES — canonical Mapper identity","dosage/scope; form/concentration evidence; Main ProductBehavior; exact label/manufacturer evidence",Raphaello|Kidi Bueno
PI-ING-000308,CARAMEL · Fabbri Paste · 07062014,"YES — canonical Mapper identity","family/form evidence; Main ProductBehavior; product-specific process; exact allergen/label evidence",Knickers
PI-ING-000146,COCONUT FLAKES · Coconut · Dry,"YES — canonical Mapper identity","dosage; post-process scope; form/concentration ProductBehavior; product-specific process; exact allergen/label evidence",Raphaello
PI-ING-000309,CREMA AMORETTA SALTED BUTTER · Aromitalia Rippling Sauce · 3353,"YES — canonical Mapper identity","form/concentration ProductBehavior; exact versioned post-process scope; exact manufacturer label/process evidence",Knickers
