iso2,priority,v7_listed_product,v7_listed_ean,v7_listed_pi,v7_listed_evidence,research_candidates,research_verified_market,research_types_verified,strongest_research_evidence,use_rule,selection_status
AE,★★★★,Modernist Pantry Pure Tara Gum Powder,819543011967,PI-ING-000492,LEAD,1,0,,GUAR: Bob's Red Mill Premium Guar Gum [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
AR,★★★★,Goma Tara Grado Alimenticio Calidad Premium,,PI-ING-000492,BRAK,2,1,GUAR,GUAR: Goma Guar x 250 g [7791351147744] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
AT,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,3,GUAR;LBG;TARA,TARA: buXtrade Tarakernmehl 25 kg [4251510635824] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
AU,★★★★★,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,3,GUAR;LBG,GUAR: Organic Guar Gum Powder 250g [9339944016848] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
BD,★★★★,Tara Gum — Home 50g,819543011967,PI-ING-000492,LEAD,2,0,,GUAR: Xanthan Gum / Guar Gum 1kg [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
BE,★★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,0,,GUAR: Gomme de guar bio [] RESEARCH_LEAD,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
BG,★★★★,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,PI-ING-000492,LEAD,3,1,LBG,"LBG: Гума от Рожков, 100 g прах [9008124059592] VERIFIED_MARKET_EVIDENCE",D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
BH,★★★★,Modernist Pantry Pure Tara Gum Powder,819543011967,PI-ING-000492,LEAD,0,0,,,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
BR,★★★★,Goma Tara INS 417 — 1 kg,,PI-ING-000492,BRAK,3,2,GUAR;STABILIZER_BLEND,GUAR: Goma Guar 100g [7896730805830] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
CA,★★★★★,Louis François Tara Gum 1 kg,,PI-ING-000492,BRAK,2,2,STABILIZER_BLEND,STABILIZER_BLEND: Stab 2000 - Ice Cream & Gelato Stabilizer & Emulsi [3700434800104] VERIFIED_MARKET_EVIDENCE,D-26: research evidence is used only if the Owner-selected stabilizer cannot be verified/used; never pre-emptively,AWAITING_OWNER_EXCEL
