printer,connection options,DPI,max printable width,tested label sizes,software geometry verified,PDF verified,system print verified,physical hardware verified,notes
AIMO 243BT,"Bluetooth; USB; app handoff; system",203,110 mm,"25.4x25.4; 70x50; 80x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Calibration HTML and exact PDF page geometry verified; no direct protocol claimed."
Brother QL-820NWBC,"USB; network; Bluetooth; system",300,62 mm,"50x30; 62 mm continuous",YES,YES,NOT TESTED,NO,"Software/calibration path only; retail full-content profile requires a larger label."
Brother QL-1110NWBC,"USB; network; Bluetooth; system",300,103.6 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Exact DPI/orientation/margins/PDF geometry verified in regression."
Brother TD-4550DNWB,"USB; network; Bluetooth; system",300,118 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Exact DPI/orientation/margins/PDF geometry verified in regression."
Zebra ZD421 203 dpi,"USB; network; Bluetooth; system",203,108 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"No ZPL or direct device communication implemented or claimed."
Zebra ZD421 300 dpi,"USB; network; Bluetooth; system",300,108 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"No ZPL or direct device communication implemented or claimed."
DYMO LabelWriter 550,"USB; system",300,62 mm,"50x30; 62 mm continuous",YES,YES,NOT TESTED,NO,"Software/calibration path only; retail full-content profile requires a larger label."
DYMO LabelWriter 5XL,"USB; system",300,104 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Exact page geometry verified; physical device unavailable."
Epson ColorWorks C4000,"USB; network; system","600; 1200",108 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Software geometry verified at supported DPI values."
Epson ColorWorks C6000,"USB; network; system","600; 1200",108 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Software geometry verified at supported DPI values."
Generic 58 mm,system,203,58 mm,"20x20; 50x30; 58 mm continuous",YES,YES,NOT TESTED,NO,"Calibration only for small media; retail full-content output fails closed."
Generic 80 mm,system,203,80 mm,"70x50; 80x50",YES,YES,NOT TESTED,NO,"Calibration only for small media; retail full-content output fails closed."
Generic 104 mm / 4 inch,system,"203; 300",104 mm,"100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Exact physical PDF geometry verified."
A4 / Letter,"system print; Save as PDF","300; 600",216 mm,"70x50; 80x50; 100x50; 100x70; 102x152",YES,YES,NOT TESTED,NO,"Universal system path; direct PDF does not require a printer."
Custom size,system,"203; 300; 600",216 mm,"20x20 through 216 mm; 102x152 retail",YES,YES,NOT TESTED,NO,"Bounds and PDF geometry verified; arbitrary compliance-breaking shrink is blocked."
