ingredient_id,name,toolbox_id,canonical_family,verification_level,confidence,approved_for_base,approved_for_engines,canonical_binding_present,composition_complete,stored_pod,stored_pac,executable_payload_matches_canonical,is_correction_candidate,correction_roles,category_gate,auto_addable_by_solver,dosage_authority,binding_route,requires_external_evidence,reason
PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,sucrose,sweetener/sucrose,Verified,98,true,true,yes,true,100,100,yes,true,"sweetness_up, freezing_up, solids_up",ALL_CATEGORIES,yes,solver_chosen,ORDINARY_BINDING,no,
PI-ING-000494,DEXTROSE · Sweetener · Dry,dextrose,sweetener/dextrose,Verified,98,true,true,yes,true,70.84,174.8,yes,true,"freezing_up, sweetness_up, solids_up",ALL_CATEGORIES,yes,solver_chosen,ORDINARY_BINDING,no,
PI-ING-000492,TARA GUM · Stabilizer,tara_gum,stabilizer/tara_gum,Verified,98,true,true,yes,true,0,0,yes,true,stabilizer,ALL_CATEGORIES,yes,policy_held,ORDINARY_BINDING,no,"bindable and auto-addable; dose held by an approved policy, not chosen freely"
PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,cream_30,dairy/cream,Verified,98,true,true,yes,true,0.512,3.668,yes,true,fat_up,DAIRY_ALLOWED_CATEGORIES,yes,solver_chosen,ORDINARY_BINDING,no,bindable and auto-addable within its category gate (DAIRY_ALLOWED_CATEGORIES)
PI-ING-000236,MILK 3.5% · Milk · Chilled,milk_3_5,dairy/milk,Verified,98,true,true,yes,true,0.752,5.285,yes,true,dilution,DAIRY_ALLOWED_CATEGORIES,yes,solver_chosen,ORDINARY_BINDING,no,bindable and auto-addable within its category gate (DAIRY_ALLOWED_CATEGORIES)
PI-ING-000270,SKIMMED MILK · Milk,smp,dairy/skimmed_milk_powder,Verified,98,true,true,yes,true,8.16,58.02,yes,true,"solids_up, protein_up",DAIRY_ALLOWED_CATEGORIES,yes,solver_chosen,ORDINARY_BINDING,no,bindable and auto-addable within its category gate (DAIRY_ALLOWED_CATEGORIES)
PI-ING-000456,INULIN · Specialty,inulin,specialty/specialty_component,Verified,98,true,true,yes,true,8,8,yes,true,"solids_up, stabilizer",ALL_CATEGORIES,yes,policy_held,ORDINARY_BINDING,no,"bindable and auto-addable; dose held by an approved policy, not chosen freely"
PI-ING-001409,WATER · Liquid,water,liquid/water,Verified,95,true,true,yes,true,0,0,yes,true,dilution,"[sorbet, vegan_gelato, fruit_gelato]",yes,solver_chosen,ORDINARY_BINDING,no,"bindable and auto-addable within its category gate ([sorbet, vegan_gelato, fruit_gelato])"
PI-ING-000458,SALT · Specialty,salt,specialty/specialty_component,Verified,98,true,true,yes,true,0,585,yes,false,,ALL_CATEGORIES,no,policy_held,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000394,RASPBERRIES · Fresh Fruit,raspberry,fruit/fresh_fruit_profile,Estimated,92,true,true,yes,true,6.049,10.183,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING_estimated_authority,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000345,BANANA · Fresh Fruit,banana,fruit/fresh_fruit_profile,Estimated,92,true,true,yes,true,20.948,26.68,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING_estimated_authority,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-001578,COCOA ALKALIZED 100% · Cacao Barry Cocoa Powder,cocoa_2224,chocolate/cocoa_powder,Verified,95,true,true,yes,true,0.4,0.634,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000102,DARK CHOCOLATE 70.5% · Callebaut Couverture · Dry,dark_chocolate_70,chocolate/dark_chocolate_couverture,Verified,98,true,true,yes,true,27,27.117,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000614,PISTACHIO · Aldori Paste · 100% Nut,pistachio_paste,nut/pistachio_paste,Verified,95,true,true,yes,true,7.7,7.7,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000038,WHISKY 40% · Spirit,whiskey_40,alcohol/spirit,Verified,98,true,true,yes,true,0,233.84,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000294,WPC 60% · Dairy,wpc_60,dairy/whey_protein_concentrate,Verified,98,true,true,yes,true,15.4,29.755,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000237,MILK PROTEIN CONCENTRATE WPC 75% · Milk,mpc_75,dairy/milk_protein_concentrate,Verified,98,true,true,yes,true,1.6,11.755,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000264,PROTEIN GEL WPC · Sempre Dairy · SEMPRE230,protein_gel_wpc,dairy/whey_protein_concentrate_powder,Verified,98,true,true,yes,true,0.528,5.055,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
PI-ING-000295,WPC 80% · Dairy,wpc_80,dairy/whey_protein_concentrate,Verified,98,true,true,yes,true,2.4,16.755,yes,false,,ALL_CATEGORIES,no,solver_chosen,ORDINARY_BINDING,no,bindable and Engine-usable; not a correction candidate — the solver never introduces it (user/Main authority only)
